R,P,region,max_rbm_residual,mean_rbm_residual
17,43,first lower,0.000443,0.0003805
17,42,second lower,0.0005118662,0.00025688718275
17,41,mature lower,2.267164e-06,1.95415775e-06
17,40,mature lower,2.002539e-06,1.8524005e-06
17,39,mature lower,2.364946e-06,2.09265475e-06
17,38,mature lower,2.362503e-06,2.0667645e-06
17,37,mature lower,2.261027e-06,2.00211325e-06
17,36,mature lower,2.144535e-06,1.949121e-06
17,35,mature lower,2.283575e-06,1.9728037500000002e-06
17,34,mature lower,2.224751e-06,1.9999015e-06
17,33,mature lower,2.283223e-06,1.983402e-06
17,32,mature lower,2.296247e-06,1.982785e-06
17,31,mature lower,2.28027e-06,1.98411275e-06
17,30,mature lower,2.165861e-06,1.9507057499999997e-06
17,29,mature lower,2.246207e-06,1.9771565e-06
17,28,mature lower,2.219697e-06,1.9701675e-06
17,27,mature lower,2.157538e-06,1.92007e-06
17,26,mature lower,2.239022e-06,1.9900095e-06
17,25,mature lower,2.191232e-06,1.98393175e-06
17,24,mature lower,2.23768e-06,1.9870757500000003e-06
17,23,mature lower,2.191657e-06,1.9384145e-06
17,22,mature lower,2.256169e-06,1.9708410000000003e-06
17,21,mature lower,2.332709e-06,1.997988e-06
17,20,mature lower,2.330192e-06,2.024369e-06
17,19,mature lower,2.23695e-06,1.9736284999999997e-06
17,18,mature lower,2.145067e-06,1.9407867499999997e-06
17,17,mature lower,2.233002e-06,1.99395825e-06
17,16,mature lower,2.188221e-06,1.97524025e-06
17,15,mature lower,2.276105e-06,2.03103225e-06
17,14,mature lower,2.231105e-06,2.0086845e-06
17,13,mature lower,2.139432e-06,1.932646e-06
17,12,mature lower,2.201545e-06,1.9375005e-06
17,11,mature lower,2.216625e-06,1.9688135e-06
17,10,mature lower,2.252451e-06,1.94085825e-06
17,9,mature lower,2.183375e-06,1.95670475e-06
17,8,mature lower,2.20487e-06,1.96388525e-06
17,7,mature lower,2.223996e-06,1.9760460000000002e-06
17,6,mature lower,2.244778e-06,1.9668289999999997e-06
17,5,mature lower,2.150756e-06,1.92985e-06
17,4,mature lower,2.15936e-06,1.9541220000000002e-06
17,3,mature lower,2.280842e-06,1.95727975e-06
17,2,mature lower,2.253898e-06,1.9524862500000002e-06
17,1,mature lower,2.231084e-06,1.959843e-06
17,0,mature lower,2.211033e-06,1.966198e-06
17,45,first upper,0.000443,0.0003805
17,46,second upper,0.0005118664,0.00025688714625
17,47,mature upper,2.267122e-06,1.95411975e-06
17,48,mature upper,2.00126e-06,1.8522504999999998e-06
17,49,mature upper,2.337575e-06,2.08527875e-06
17,50,mature upper,2.32826e-06,2.057285e-06
